
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
CAP-0402_100n_10%_X7R_50V        C343                             363   1   1   1   1 1      1 0 U.2                 8097793
CAP-0402_100n_10%_X7R_50V        C343                             363   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C346                             326   1   1   1   1 1      1 0 V_MPU.2             8290305
CAP-0402_100n_10%_X7R_50V        C346                             326   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C347                             325   1   1   1   1 1      1 0 V_MPU.2             8290305
CAP-0402_100n_10%_X7R_50V        C347                             325   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C348                             324   1   1   1   1 1      1 0 V_MPU.2             8290305
CAP-0402_100n_10%_X7R_50V        C348                             324   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C349                             323   1   1   1   1 1      1 0 V_MPU.2             8290305
CAP-0402_100n_10%_X7R_50V        C349                             323   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C367                             347   1   1   1   1 1      1 0 VM.2                8196097
CAP-0402_100n_10%_X7R_50V        C367                             347   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C369                             350   1   1   1   1 1      1 0 V_MOT.2             3854337
CAP-0402_100n_10%_X7R_50V        C369                             350   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C376                             372   1   1   1   1 1      1 0 V_H.2               6041601
CAP-0402_100n_10%_X7R_50V        C376                             372   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C401                             355   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C401                             355   1   2   1   1 2      2 0 XSIG011271          3723265
CAP-0402_100n_10%_X7R_50V        C407                             367   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C407                             367   1   2   1   1 2      2 0 XSIG011249          3665921
CAP-0402_100n_10%_X7R_50V        C443                             362   1   1   1   1 1      1 0 U.3                 8052737
CAP-0402_100n_10%_X7R_50V        C443                             362   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C446                             346   1   1   1   1 1      1 0 V_MPU.3             8298497
CAP-0402_100n_10%_X7R_50V        C446                             346   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C447                             345   1   1   1   1 1      1 0 V_MPU.3             8298497
CAP-0402_100n_10%_X7R_50V        C447                             345   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C448                             344   1   1   1   1 1      1 0 V_MPU.3             8298497
CAP-0402_100n_10%_X7R_50V        C448                             344   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C449                             342   1   1   1   1 1      1 0 V_MPU.3             8298497
CAP-0402_100n_10%_X7R_50V        C449                             342   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C467                             348   1   1   1   1 1      1 0 VM.3                8171521
CAP-0402_100n_10%_X7R_50V        C467                             348   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C469                             351   1   1   1   1 1      1 0 V_MOT.3             3670017
CAP-0402_100n_10%_X7R_50V        C469                             351   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C476                             373   1   1   1   1 1      1 0 V_H.3               6066177
CAP-0402_100n_10%_X7R_50V        C476                             373   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C501                             358   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C501                             358   1   2   1   1 2      2 0 XSIG011021          2932737
CAP-0402_100n_10%_X7R_50V        C507                             370   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C507                             370   1   2   1   1 2      2 0 XSIG010977          2867201
CAP-0402_100n_10%_X7R_50V        C543                             361   1   1   1   1 1      1 0 U.4                 7929857
CAP-0402_100n_10%_X7R_50V        C543                             361   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C546                             343   1   1   1   1 1      1 0 V_MPU.4             8323073
CAP-0402_100n_10%_X7R_50V        C546                             343   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C547                             341   1   1   1   1 1      1 0 V_MPU.4             8323073
CAP-0402_100n_10%_X7R_50V        C547                             341   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C548                             340   1   1   1   1 1      1 0 V_MPU.4             8323073
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
CAP-0402_100n_10%_X7R_50V        C548                             340   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C549                             338   1   1   1   1 1      1 0 V_MPU.4             8323073
CAP-0402_100n_10%_X7R_50V        C549                             338   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C601                             357   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C601                             357   1   2   1   1 2      2 0 XSIG011078          3117057
CAP-0402_100n_10%_X7R_50V        C607                             369   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C607                             369   1   2   1   1 2      2 0 XSIG011056          3059713
CAP-0402_100n_10%_X7R_50V        C643                             360   1   1   1   1 1      1 0 U.5                 7868417
CAP-0402_100n_10%_X7R_50V        C643                             360   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C646                             339   1   1   1   1 1      1 0 V_MPU.5             8331265
CAP-0402_100n_10%_X7R_50V        C646                             339   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C647                             337   1   1   1   1 1      1 0 V_MPU.5             8331265
CAP-0402_100n_10%_X7R_50V        C647                             337   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C648                             336   1   1   1   1 1      1 0 V_MPU.5             8331265
CAP-0402_100n_10%_X7R_50V        C648                             336   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C649                             335   1   1   1   1 1      1 0 V_MPU.5             8331265
CAP-0402_100n_10%_X7R_50V        C649                             335   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C701                             353   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C701                             353   1   2   1   1 2      2 0 XSIG011136          3301377
CAP-0402_100n_10%_X7R_50V        C707                             368   1   1   1   1 1      1 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C707                             368   1   2   1   1 2      2 0 XSIG011114          3244033
CAP-0402_100n_10%_X7R_50V        C743                             359   1   1   1   1 1      1 0 U.6                 7778305
CAP-0402_100n_10%_X7R_50V        C743                             359   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C746                             334   1   1   1   1 1      1 0 V_MPU.6             8339457
CAP-0402_100n_10%_X7R_50V        C746                             334   1   2   1   1 2      2 0 GND                 8224769
CAP-0402_100n_10%_X7R_50V        C747                             333   1   1   1   1 1      1 0 V_MPU.6             8339457
CAP-0402_100n_10%_X7R_50V        C747                             333   1   2   1   1 2      2 0 GND                 8224769
